id,Timestamp,Представьтесь в 2-3 фразах,Работали ли Вы с Jupyter notebooks?,Что Вы ждете от курса?,Потом мы прямо этот же набор данных поанализируем с Pandas. Так что какой Ваш любимый вид спорта?,"Ладно, посерьезней: согласны ли Вы на обработку персональных данных?","Какие оцениваете свой уровень математической подготовки? (матан, линал, теорвер)","Чему равна дисперсия равномерного на [0,6] распределения?","Найдите минимум функции 3x^4-8x^3+6x^2-12 на отрезке [-3,3]",Сколько параметров у нормального распределения?,Сможете написать на Python генератор чисел Фибоначчи?,"Хорошо, а готовы к началу курса (6 сентября 2017) освоить азы Python? На уровне Code Academy, DataCamp или github.com/Yorko/python_intro",Оцените свой уровень владения GitHub,"Посоветуйте хороший фильм в стиле ""Игра в имитацию"" :)"
99,2016/12/06 2:46:40 pm GMT+3,"Выпускница МФТИ, работаю аналитиком в Яндексе уже 3 года, только начинаю изучение ML (смотрю курсы на Coursera).",Да,"Побольше практики, интересных задач и networking'a",Биатлон,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игры разума
101,2016/12/06 4:20:05 pm GMT+3,Макроэкономист в крупном банке,Нет,Хочу изучить формальный мат.аппарат машинного обучения,Триатлон,Да,4,3,-12,2.0,Нет,Да,Могу редактировать свою копию,
102,2016/12/06 4:52:15 pm GMT+3,Студент 1 курса ФКН ВШЭ. Интересуюсь ML примерно год. Пишу на питоне.,Да,"Много практики, много новых знакомств, много нового опыта",Программирование вслепую,Да,3,,-12,2.0,Да,Да,Могу редактировать свою копию,
103,2016/12/06 5:09:12 pm GMT+3,Студент / работаю. Занимаюсь байесовской статистикой.,Да,Практических заданий по ML,Волейбол,Да,4,3,-12,2.0,Да,Да,Проф,Теория всего
104,2016/12/06 9:20:15 pm GMT+3,Я прикладной математик в области дифф. уравнений,,Хочу изучить основы machine learning,,Да,5,,,,Да,Да,,
105,2016/12/06 9:33:00 pm GMT+3,"Учиться, учиться и еще раз учиться:)",Да,Хочу научиться мыслить в терминах анализа данных и получить практические навыки в этой теме,плавание,Да,4,,-12,2.0,Да,освоил :),"Пользуюсь ветками, могу что-то смерджить",Игры разума
106,2016/12/06 10:49:07 pm GMT+3,Работаю в Сбербанке,Да,"Прокачки, поиск компетентных людей ",сноуборд,Да,4,3,-12,2.0,Нет,Да,"Пользуюсь ветками, могу что-то смерджить",Доктор Стрэндж
107,2016/12/06 11:37:46 pm GMT+3,Бывший физик-экономист. Нынешний Python-разработчик/DS-любитель.,Да,"Расширения кругозора в методах машинного обучения, углубления имеющихся знаний.",Баскетбол,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Экспериментатор
108,2016/12/06 11:46:50 pm GMT+3,"разработчик, data science энтузиаст, читатель",Да,новых знаний,пинг-понг,Да,4,3,-12,2.0,Да,Да,Проф,"""Игры разума"" ;)"
109,2016/12/07 1:55:45 am GMT+3,"Java  програмист, которому всегда интересно изучать что то новое за границами своей специальности. Учусь в магистратуре ВШЭ на финансового инженера. Интересуюсь методами машинного обучения, хотя дело до серьезной практики пока не дошло. В поисках интересной задачи ML в финансах.",Да,Интересные практические задачи. Отличные вечера два раза в неделю на протяжении 3х месяцев.,нет любимого,Да,4,3,-12,2.0,Да,Да,Проф,Вселенная Стивена Хокинга
